#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 2.02665E+21 5.43733E+16
1.10909E-06 1.33817E+17 3.59019E+12
2.11818E-06 1.00491E+16 2.69608E+11
3.12727E-06 2.11308E+15 5.66920E+10
4.13636E-06 6.89768E+14 1.85058E+10
5.14545E-06 2.87794E+14 7.72124E+09
6.15455E-06 1.40472E+14 3.76874E+09
7.16364E-06 7.64607E+13 2.05137E+09
8.17273E-06 4.50922E+13 1.20978E+09
9.18182E-06 2.82782E+13 7.58679E+08
1.01909E-05 1.86171E+13 4.99480E+08
1.12000E-05 1.27493E+13 3.42053E+08
1.22091E-05 9.02034E+12 2.42007E+08
1.32182E-05 6.55941E+12 1.75983E+08
1.42273E-05 4.88270E+12 1.30998E+08
1.52364E-05 3.70866E+12 9.94999E+07
1.62455E-05 2.86688E+12 7.69157E+07
1.72545E-05 2.25069E+12 6.03841E+07
1.82636E-05 1.79133E+12 4.80597E+07
1.92727E-05 1.44326E+12 3.87214E+07
2.02818E-05 1.17566E+12 3.15420E+07
2.12909E-05 9.67222E+11 2.59497E+07
2.23000E-05 8.02927E+11 2.15418E+07
2.33091E-05 6.72026E+11 1.80298E+07
2.43182E-05 5.66701E+11 1.52041E+07
2.53273E-05 4.81189E+11 1.29099E+07
2.63364E-05 4.11185E+11 1.10317E+07
2.73455E-05 3.53435E+11 9.48235E+06
2.83545E-05 3.05457E+11 8.19513E+06
2.93636E-05 2.65333E+11 7.11863E+06
3.03727E-05 2.31571E+11 6.21284E+06
3.13818E-05 2.03000E+11 5.44630E+06
3.23909E-05 1.78691E+11 4.79413E+06
3.34000E-05 1.57906E+11 4.23647E+06
3.44091E-05 1.40049E+11 3.75738E+06
3.54182E-05 1.24639E+11 3.34395E+06
3.64273E-05 1.11286E+11 2.98569E+06
3.74364E-05 9.96684E+10 2.67401E+06
3.84455E-05 8.95237E+10 2.40184E+06
3.94545E-05 8.06335E+10 2.16332E+06
4.04636E-05 7.28164E+10 1.95360E+06
4.14727E-05 6.59209E+10 1.76860E+06
4.24818E-05 5.98199E+10 1.60491E+06
4.34909E-05 5.44062E+10 1.45967E+06
4.45000E-05 4.95890E+10 1.33043E+06
4.55091E-05 4.52915E+10 1.21513E+06
4.65182E-05 4.14477E+10 1.11201E+06
4.75273E-05 3.80017E+10 1.01955E+06
4.85364E-05 3.49050E+10 9.36468E+05
4.95455E-05 3.21161E+10 8.61645E+05
5.05545E-05 2.95991E+10 7.94116E+05
5.15636E-05 2.73228E+10 7.33047E+05
5.25727E-05 2.52603E+10 6.77710E+05
5.35818E-05 2.33879E+10 6.27475E+05
5.45909E-05 2.16849E+10 5.81787E+05
5.56000E-05 2.01335E+10 5.40164E+05
5.66091E-05 1.87177E+10 5.02179E+05
5.76182E-05 1.74236E+10 4.67459E+05
5.86273E-05 1.62388E+10 4.35673E+05
5.96364E-05 1.51526E+10 4.06530E+05
6.06455E-05 1.41552E+10 3.79771E+05
6.16545E-05 1.32381E+10 3.55166E+05
6.26636E-05 1.23936E+10 3.32510E+05
6.36727E-05 1.16151E+10 3.11623E+05
6.46818E-05 1.08964E+10 2.92341E+05
6.56909E-05 1.02321E+10 2.74519E+05
6.67000E-05 9.61744E+09 2.58027E+05
6.77091E-05 9.04792E+09 2.42748E+05
6.87182E-05 8.51969E+09 2.28576E+05
6.97273E-05 8.02922E+09 2.15417E+05
7.07364E-05 7.57332E+09 2.03185E+05
7.17455E-05 7.14911E+09 1.91804E+05
7.27545E-05 6.75400E+09 1.81204E+05
7.37636E-05 6.38563E+09 1.71321E+05
7.47727E-05 6.04187E+09 1.62098E+05
7.57818E-05 5.72078E+09 1.53483E+05
7.67909E-05 5.42059E+09 1.45430E+05
7.78000E-05 5.13970E+09 1.37893E+05
7.88091E-05 4.87663E+09 1.30836E+05
7.98182E-05 4.63007E+09 1.24221E+05
8.08273E-05 4.39877E+09 1.18015E+05
8.18364E-05 4.18164E+09 1.12190E+05
8.28455E-05 3.97763E+09 1.06716E+05
8.38545E-05 3.78582E+09 1.01570E+05
8.48636E-05 3.60535E+09 9.67283E+04
8.58727E-05 3.43542E+09 9.21691E+04
8.68818E-05 3.27530E+09 8.78733E+04
8.78909E-05 3.12433E+09 8.38229E+04
8.89000E-05 2.98188E+09 8.00012E+04
8.99091E-05 2.84740E+09 7.63931E+04
9.09182E-05 2.72034E+09 7.29844E+04
9.19273E-05 2.60024E+09 6.97621E+04
9.29364E-05 2.48663E+09 6.67141E+04
9.39455E-05 2.37911E+09 6.38293E+04
9.49545E-05 2.27728E+09 6.10974E+04
9.59636E-05 2.18080E+09 5.85088E+04
9.69727E-05 2.08932E+09 5.60546E+04
9.79818E-05 2.00255E+09 5.37266E+04
9.89909E-05 1.92019E+09 5.15170E+04
1.00000E-04 1.84199E+09 4.94188E+04
