#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 3.98904E+19 1.04770E+15
1.10909E-06 2.63534E+15 6.92156E+10
2.11818E-06 1.98011E+14 5.20064E+09
3.12727E-06 4.16596E+13 1.09416E+09
4.13636E-06 1.36063E+13 3.57361E+08
5.14545E-06 5.68009E+12 1.49184E+08
6.15455E-06 2.77398E+12 7.28569E+07
7.16364E-06 1.51074E+12 3.96786E+07
8.17273E-06 8.91438E+11 2.34131E+07
9.18182E-06 5.59346E+11 1.46909E+07
1.01909E-05 3.68451E+11 9.67715E+06
1.12000E-05 2.52461E+11 6.63076E+06
1.22091E-05 1.78719E+11 4.69394E+06
1.32182E-05 1.30032E+11 3.41523E+06
1.42273E-05 9.68474E+10 2.54364E+06
1.52364E-05 7.36012E+10 1.93309E+06
1.62455E-05 5.69270E+10 1.49516E+06
1.72545E-05 4.47165E+10 1.17445E+06
1.82636E-05 3.56097E+10 9.35268E+05
1.92727E-05 2.87065E+10 7.53959E+05
2.02818E-05 2.33970E+10 6.14509E+05
2.12909E-05 1.92596E+10 5.05842E+05
2.23000E-05 1.59970E+10 4.20153E+05
2.33091E-05 1.33965E+10 3.51852E+05
2.43182E-05 1.13033E+10 2.96874E+05
2.53273E-05 9.60307E+09 2.52219E+05
2.63364E-05 8.21061E+09 2.15647E+05
2.73455E-05 7.06144E+09 1.85465E+05
2.83545E-05 6.10630E+09 1.60378E+05
2.93636E-05 5.30718E+09 1.39390E+05
3.03727E-05 4.63450E+09 1.21723E+05
3.13818E-05 4.06500E+09 1.06765E+05
3.23909E-05 3.58026E+09 9.40336E+04
3.34000E-05 3.16560E+09 8.31428E+04
3.44091E-05 2.80921E+09 7.37823E+04
3.54182E-05 2.50153E+09 6.57014E+04
3.64273E-05 2.23480E+09 5.86958E+04
3.74364E-05 2.00265E+09 5.25985E+04
3.84455E-05 1.79984E+09 4.72718E+04
3.94545E-05 1.62203E+09 4.26018E+04
4.04636E-05 1.46563E+09 3.84938E+04
4.14727E-05 1.32760E+09 3.48686E+04
4.24818E-05 1.20542E+09 3.16597E+04
4.34909E-05 1.09696E+09 2.88110E+04
4.45000E-05 1.00041E+09 2.62752E+04
4.55091E-05 9.14239E+08 2.40120E+04
4.65182E-05 8.37134E+08 2.19869E+04
4.75273E-05 7.67977E+08 2.01705E+04
4.85364E-05 7.05804E+08 1.85376E+04
4.95455E-05 6.49788E+08 1.70663E+04
5.05545E-05 5.99211E+08 1.57379E+04
5.15636E-05 5.53452E+08 1.45361E+04
5.25727E-05 5.11971E+08 1.34466E+04
5.35818E-05 4.74297E+08 1.24572E+04
5.45909E-05 4.40020E+08 1.15569E+04
5.56000E-05 4.08778E+08 1.07363E+04
5.66091E-05 3.80255E+08 9.98719E+03
5.76182E-05 3.54173E+08 9.30214E+03
5.86273E-05 3.30284E+08 8.67472E+03
5.96364E-05 3.08372E+08 8.09921E+03
6.06455E-05 2.88243E+08 7.57054E+03
6.16545E-05 2.69727E+08 7.08423E+03
6.26636E-05 2.52671E+08 6.63626E+03
6.36727E-05 2.36939E+08 6.22307E+03
6.46818E-05 2.22410E+08 5.84147E+03
6.56909E-05 2.08975E+08 5.48861E+03
6.67000E-05 1.96537E+08 5.16193E+03
6.77091E-05 1.85009E+08 4.85915E+03
6.87182E-05 1.74311E+08 4.57819E+03
6.97273E-05 1.64374E+08 4.31720E+03
7.07364E-05 1.55134E+08 4.07450E+03
7.17455E-05 1.46532E+08 3.84857E+03
7.27545E-05 1.38516E+08 3.63805E+03
7.37636E-05 1.31040E+08 3.44169E+03
7.47727E-05 1.24060E+08 3.25837E+03
7.57818E-05 1.17538E+08 3.08706E+03
7.67909E-05 1.11437E+08 2.92683E+03
7.78000E-05 1.05726E+08 2.77684E+03
7.88091E-05 1.00375E+08 2.63630E+03
7.98182E-05 9.53579E+07 2.50452E+03
8.08273E-05 9.06492E+07 2.38085E+03
8.18364E-05 8.62267E+07 2.26470E+03
8.28455E-05 8.20699E+07 2.15552E+03
8.38545E-05 7.81598E+07 2.05282E+03
8.48636E-05 7.44791E+07 1.95615E+03
8.58727E-05 7.10119E+07 1.86509E+03
8.68818E-05 6.77435E+07 1.77925E+03
8.78909E-05 6.46605E+07 1.69827E+03
8.89000E-05 6.17502E+07 1.62184E+03
8.99091E-05 5.90014E+07 1.54964E+03
9.09182E-05 5.64033E+07 1.48140E+03
9.19273E-05 5.39462E+07 1.41687E+03
9.29364E-05 5.16210E+07 1.35580E+03
9.39455E-05 4.94193E+07 1.29797E+03
9.49545E-05 4.73334E+07 1.24318E+03
9.59636E-05 4.53559E+07 1.19125E+03
9.69727E-05 4.34804E+07 1.14199E+03
9.79818E-05 4.17004E+07 1.09524E+03
9.89909E-05 4.00102E+07 1.05085E+03
1.00000E-04 3.84046E+07 1.00867E+03
