#  FeatureSize(cm)    Fluence(mum2)   Dose(Gy)
1.00000E-07 8.24015E+20 2.10538E+16
1.10909E-06 5.44109E+16 1.39021E+12
2.11818E-06 4.08621E+15 1.04404E+11
3.12727E-06 8.59269E+14 2.19545E+10
4.13636E-06 2.80502E+14 7.16689E+09
5.14545E-06 1.17040E+14 2.99040E+09
6.15455E-06 5.71298E+13 1.45968E+09
7.16364E-06 3.10978E+13 7.94557E+08
8.17273E-06 1.83406E+13 4.68606E+08
9.18182E-06 1.15023E+13 2.93886E+08
1.01909E-05 7.57291E+12 1.93490E+08
1.12000E-05 5.18631E+12 1.32511E+08
1.22091E-05 3.66955E+12 9.37579E+07
1.32182E-05 2.66855E+12 6.81820E+07
1.42273E-05 1.98651E+12 5.07558E+07
1.52364E-05 1.50892E+12 3.85533E+07
1.62455E-05 1.16648E+12 2.98039E+07
1.72545E-05 9.15812E+11 2.33992E+07
1.82636E-05 7.28929E+11 1.86243E+07
1.92727E-05 5.87320E+11 1.50062E+07
2.02818E-05 4.78446E+11 1.22244E+07
2.12909E-05 3.93638E+11 1.00575E+07
2.23000E-05 3.26788E+11 8.34951E+06
2.33091E-05 2.73525E+11 6.98861E+06
2.43182E-05 2.30667E+11 5.89359E+06
2.53273E-05 1.95870E+11 5.00451E+06
2.63364E-05 1.67382E+11 4.27664E+06
2.73455E-05 1.43880E+11 3.67618E+06
2.83545E-05 1.24355E+11 3.17729E+06
2.93636E-05 1.08025E+11 2.76006E+06
3.03727E-05 9.42838E+10 2.40897E+06
3.13818E-05 8.26550E+10 2.11185E+06
3.23909E-05 7.27608E+10 1.85906E+06
3.34000E-05 6.43003E+10 1.64289E+06
3.44091E-05 5.70314E+10 1.45717E+06
3.54182E-05 5.07586E+10 1.29689E+06
3.64273E-05 4.53227E+10 1.15800E+06
3.74364E-05 4.05933E+10 1.03717E+06
3.84455E-05 3.64633E+10 9.31645E+05
3.94545E-05 3.28439E+10 8.39168E+05
4.04636E-05 2.96612E+10 7.57850E+05
4.14727E-05 2.68537E+10 6.86117E+05
4.24818E-05 2.43695E+10 6.22647E+05
4.34909E-05 2.21651E+10 5.66324E+05
4.45000E-05 2.02036E+10 5.16207E+05
4.55091E-05 1.84536E+10 4.71493E+05
4.65182E-05 1.68883E+10 4.31500E+05
4.75273E-05 1.54849E+10 3.95643E+05
4.85364E-05 1.42238E+10 3.63421E+05
4.95455E-05 1.30879E+10 3.34400E+05
5.05545E-05 1.20628E+10 3.08207E+05
5.15636E-05 1.11357E+10 2.84519E+05
5.25727E-05 1.02956E+10 2.63054E+05
5.35818E-05 9.53288E+09 2.43567E+05
5.45909E-05 8.83921E+09 2.25844E+05
5.56000E-05 8.20723E+09 2.09696E+05
5.66091E-05 7.63047E+09 1.94960E+05
5.76182E-05 7.10326E+09 1.81490E+05
5.86273E-05 6.62058E+09 1.69157E+05
5.96364E-05 6.17802E+09 1.57850E+05
6.06455E-05 5.77165E+09 1.47467E+05
6.16545E-05 5.39798E+09 1.37920E+05
6.26636E-05 5.05390E+09 1.29128E+05
6.36727E-05 4.73667E+09 1.21023E+05
6.46818E-05 4.44381E+09 1.13540E+05
6.56909E-05 4.17311E+09 1.06624E+05
6.67000E-05 3.92260E+09 1.00223E+05
6.77091E-05 3.69051E+09 9.42932E+04
6.87182E-05 3.47523E+09 8.87928E+04
6.97273E-05 3.27532E+09 8.36853E+04
7.07364E-05 3.08951E+09 7.89376E+04
7.17455E-05 2.91660E+09 7.45198E+04
7.27545E-05 2.75555E+09 7.04049E+04
7.37636E-05 2.60539E+09 6.65684E+04
7.47727E-05 2.46526E+09 6.29880E+04
7.57818E-05 2.33437E+09 5.96436E+04
7.67909E-05 2.21199E+09 5.65168E+04
7.78000E-05 2.09747E+09 5.35909E+04
7.88091E-05 1.99022E+09 5.08506E+04
7.98182E-05 1.88969E+09 4.82820E+04
8.08273E-05 1.79538E+09 4.58725E+04
8.18364E-05 1.70685E+09 4.36103E+04
8.28455E-05 1.62366E+09 4.14849E+04
8.38545E-05 1.54545E+09 3.94865E+04
8.48636E-05 1.47185E+09 3.76061E+04
8.58727E-05 1.40255E+09 3.58355E+04
8.68818E-05 1.33725E+09 3.41670E+04
8.78909E-05 1.27568E+09 3.25938E+04
8.89000E-05 1.21758E+09 3.11095E+04
8.99091E-05 1.16273E+09 2.97080E+04
9.09182E-05 1.11090E+09 2.83839E+04
9.19273E-05 1.06191E+09 2.71321E+04
9.29364E-05 1.01557E+09 2.59481E+04
9.39455E-05 9.71709E+08 2.48274E+04
9.49545E-05 9.30169E+08 2.37660E+04
9.59636E-05 8.90807E+08 2.27603E+04
9.69727E-05 8.53487E+08 2.18068E+04
9.79818E-05 8.18084E+08 2.09022E+04
9.89909E-05 7.84482E+08 2.00437E+04
1.00000E-04 7.52572E+08 1.92284E+04
